,Squad,Age,Season
0,Alaves,26.7,2018/19
1,Athletic Club,27.6,2018/19
2,Atletico Madrid,26.4,2018/19
3,Barcelona,27.7,2018/19
4,Real Betis,26.7,2018/19
5,Celta Vigo,25.5,2018/19
6,Eibar,28.5,2018/19
7,Espanyol,27.7,2018/19
8,Getafe,27.5,2018/19
9,Girona,26.6,2018/19
10,Huesca,26.7,2018/19
11,Leganes,26.6,2018/19
12,Levante,26.3,2018/19
13,Rayo Vallecano,26.6,2018/19
14,Real Madrid,27.1,2018/19
15,Real Sociedad,24.9,2018/19
16,Sevilla,27.9,2018/19
17,Valencia,26.4,2018/19
18,Valladolid,27.4,2018/19
19,Villarreal,27.1,2018/19
20,Alaves,27.6,2019/20
21,Athletic Club,26.7,2019/20
22,Atletico Madrid,26.1,2019/20
23,Barcelona,27.8,2019/20
24,Real Betis,27.5,2019/20
25,Celta Vigo,25.8,2019/20
26,Eibar,29.3,2019/20
27,Espanyol,27.7,2019/20
28,Getafe,27.5,2019/20
29,Granada,26.8,2019/20
30,Leganes,26.9,2019/20
31,Levante,27.7,2019/20
32,Mallorca,26.8,2019/20
33,Osasuna,27.7,2019/20
34,Real Madrid,27.6,2019/20
35,Real Sociedad,24.8,2019/20
36,Sevilla,27.7,2019/20
37,Valencia,27.0,2019/20
38,Valladolid,27.1,2019/20
39,Villarreal,27.6,2019/20
40,Alaves,28.7,2020/21
41,Athletic Club,26.6,2020/21
42,Atletico Madrid,27.3,2020/21
43,Barcelona,26.4,2020/21
44,Real Betis,27.9,2020/21
45,Cadiz,28.8,2020/21
46,Celta Vigo,26.6,2020/21
47,Eibar,28.2,2020/21
48,Elche,28.1,2020/21
49,Getafe,26.7,2020/21
50,Granada,27.4,2020/21
51,Huesca,28.0,2020/21
52,Levante,28.0,2020/21
53,Osasuna,27.9,2020/21
54,Real Madrid,27.9,2020/21
55,Real Sociedad,25.0,2020/21
56,Sevilla,28.1,2020/21
57,Valencia,25.2,2020/21
58,Valladolid,28.1,2020/21
59,Villarreal,28.0,2020/21
60,Alaves,27.9,2021/22
61,Athletic Club,26.9,2021/22
62,Atletico Madrid,28.1,2021/22
63,Barcelona,26.2,2021/22
64,Real Betis,28.9,2021/22
65,Cadiz,28.5,2021/22
66,Celta Vigo,28.4,2021/22
67,Elche,29.1,2021/22
68,Espanyol,27.7,2021/22
69,Getafe,26.6,2021/22
70,Granada,28.1,2021/22
71,Levante,28.0,2021/22
72,Mallorca,27.9,2021/22
73,Osasuna,27.7,2021/22
74,Rayo Vallecano,27.5,2021/22
75,Real Madrid,27.7,2021/22
76,Real Sociedad,25.7,2021/22
77,Sevilla,28.6,2021/22
78,Valencia,24.8,2021/22
79,Villarreal,28.0,2021/22
80,Almeria,26.4,2022/23
81,Athletic Club,27.4,2022/23
82,Atletico Madrid,28.5,2022/23
83,Barcelona,25.9,2022/23
84,Real Betis,28.6,2022/23
85,Cadiz,29.1,2022/23
86,Celta Vigo,26.7,2022/23
87,Elche,28.3,2022/23
88,Espanyol,27.6,2022/23
89,Getafe,27.4,2022/23
90,Girona,26.0,2022/23
91,Mallorca,27.7,2022/23
92,Osasuna,27.5,2022/23
93,Rayo Vallecano,27.9,2022/23
94,Real Madrid,27.4,2022/23
95,Real Sociedad,25.9,2022/23
96,Sevilla,28.7,2022/23
97,Valencia,24.2,2022/23
98,Valladolid,27.4,2022/23
99,Villarreal,28.4,2022/23
