,team,wwages,awages,season
0,Bayern Munich,3730731,193998000,2019
1,Dortmund,1856808,96554000,2019
2,Schalke 04,1345654,69974000,2019
3,Wolfsburg,1261494,65597700,2019
4,Bayer Leverkusen,1194356,62106500,2019
5,RB Leipzig,1052471,54728500,2019
6,Monchengladbach,872260,45357500,2019
7,Eintracht Frankfurt,732365,38083000,2019
8,Hoffenheim,728731,37894000,2019
9,Stuttgart,699190,36357900,2019
10,Werder Bremen,676038,35154000,2019
11,Hertha BSC,601702,31288500,2019
12,Augsburg,459529,23895500,2019
13,Mainz 05,412394,21444500,2019
14,Freiburg,327779,17044500,2019
15,Dusseldorf,291394,15152500,2019
16,Nurnberg,210904,10967000,2019
17,Bayern Munich,4117692,214120000,2020
18,Dortmund,2054231,106820000,2020
19,RB Leipzig,1360385,70740000,2020
20,Wolfsburg,1285962,66870000,2020
21,Monchengladbach,1039423,54050000,2020
22,Hertha BSC,970577,50470000,2020
23,Schalke 04,935192,48630000,2020
24,Bayer Leverkusen,919615,47820000,2020
25,Hoffenheim,916346,47650000,2020
26,Eintracht Frankfurt,828269,43070000,2020
27,Werder Bremen,818077,42540000,2020
28,Koln,748654,38930000,2020
29,Augsburg,536154,27880000,2020
30,Mainz 05,504808,26250000,2020
31,Dusseldorf,422115,21950000,2020
32,Union Berlin,411538,21400000,2020
33,Freiburg,319231,16600000,2020
34,Paderborn 07,134808,7010000,2020
35,Bayern Munich,4318654,224570000,2021
36,Dortmund,1737115,90330000,2021
37,Schalke 04,1202308,62520000,2021
38,Wolfsburg,1112885,57870000,2021
39,Bayer Leverkusen,1080769,56200000,2021
40,RB Leipzig,1035962,53870000,2021
41,Monchengladbach,951538,49480000,2021
42,Eintracht Frankfurt,916923,47680000,2021
43,Hoffenheim,824423,42870000,2021
44,Hertha BSC,795000,41340000,2021
45,Koln,576346,29970000,2021
46,Werder Bremen,575000,29900000,2021
47,Mainz 05,445769,23180000,2021
48,Augsburg,440769,22920000,2021
49,Stuttgart,356154,18520000,2021
50,Union Berlin,332692,17300000,2021
51,Freiburg,278269,14470000,2021
52,Arminia,184423,9590000,2021
53,Bayern Munich,4588654,238610000,2022
54,Dortmund,1735962,90270000,2022
55,Wolfsburg,1183269,61530000,2022
56,RB Leipzig,1038846,54020000,2022
57,Bayer Leverkusen,995962,51790000,2022
58,Monchengladbach,909231,47280000,2022
59,Hoffenheim,774423,40270000,2022
60,Hertha BSC,720385,37460000,2022
61,Eintracht Frankfurt,692500,36010000,2022
62,Koln,556538,28940000,2022
63,Augsburg,461538,24000000,2022
64,Union Berlin,412500,21450000,2022
65,Mainz 05,330385,17180000,2022
66,Stuttgart,302692,15740000,2022
67,Bochum,259808,13510000,2022
68,Greuther Furth,244231,12700000,2022
69,Freiburg,231154,12020000,2022
70,Arminia,204423,10630000,2022
71,Bayern Munich,5047500,262470000,2023
72,Dortmund,2356154,122520000,2023
73,RB Leipzig,1796538,93420000,2023
74,Bayer Leverkusen,1102500,57330000,2023
75,Monchengladbach,919231,47800000,2023
76,Wolfsburg,856538,44540000,2023
77,Hoffenheim,725769,37740000,2023
78,Schalke 04,686154,35680000,2023
79,Eintracht Frankfurt,653077,33960000,2023
80,Hertha BSC,642692,33420000,2023
81,Augsburg,501346,26070000,2023
82,Werder Bremen,453654,23590000,2023
83,Koln,411154,21380000,2023
84,Mainz 05,410577,21350000,2023
85,Union Berlin,392885,20430000,2023
86,Freiburg,376731,19590000,2023
87,Stuttgart,309615,16100000,2023
88,Bochum,301923,15700000,2023
